,geographic_name,site_type,longitude,latitude,geometry,date_mod,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,dictionary
0,las señoritas,hamlet,-75.5696998,3.4659505,POINT Z (-75.5696998 3.4659505 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
1,iglesia san juan bautista,place_of_worship,-75.4846869,3.724765,POINT Z (-75.4846869 3.724765 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
2,casa café,cafe,-75.4855748,3.7247075,POINT Z (-75.48557479999999 3.7247075 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
3,hospital san juan bautista,hospital,-75.4845993,3.7268292,POINT Z (-75.4845993 3.7268292 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
4,zona de taxis,taxi,-75.4853197,3.7242221,POINT Z (-75.48531970000001 3.7242221 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
5,la manga,locality,-75.4349689,3.5097864,POINT Z (-75.4349689 3.5097864 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
6,la profunda,hamlet,-75.6260707,3.5813838,POINT Z (-75.6260707 3.5813838 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
7,las juntas,locality,-75.6223764,3.5946369,POINT Z (-75.62237639999999 3.5946369 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
8,la aldea,locality,-75.6101942,3.5981782,POINT Z (-75.6101942 3.5981782 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
9,la argentina,locality,-75.6058029,3.6034194,POINT Z (-75.6058029 3.6034194 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
10,esc. icarco,school,-75.5991331,3.6119407,POINT Z (-75.5991331 3.6119407 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
11,calibio,locality,-75.5971621,3.6320334,POINT Z (-75.59716210000001 3.6320334 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
12,dos aguas,locality,-75.6144438,3.629342,POINT Z (-75.6144438 3.629342 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
13,berlin,locality,-75.6117524,3.6258006,POINT Z (-75.6117524 3.6258006 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
14,el triunfo,locality,-75.6203932,3.6071024,POINT Z (-75.6203932 3.6071024 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
15,la glorieta,locality,-75.60127,3.6429407,POINT Z (-75.60127 3.6429407 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
16,la tribuna,locality,-75.6154354,3.6406742,POINT Z (-75.6154354 3.6406742 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
17,el tesoro,locality,-75.6072195,3.6328833,POINT Z (-75.6072195 3.6328833 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
18,calibio,hamlet,-75.6307339,3.6340165,POINT Z (-75.6307339 3.6340165 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
19,esc. helechales,school,-75.5898626,3.6826813,POINT Z (-75.5898626 3.6826813 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
20,el jardin,locality,-75.6385249,3.6626305,POINT Z (-75.63852489999999 3.6626305 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
21,san antonio,locality,-75.6358335,3.6539897,POINT Z (-75.6358335 3.6539897 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
22,el recuerdo,locality,-75.6104775,3.657531,POINT Z (-75.6104775 3.657531 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
23,la germania,locality,-75.6206765,3.6537064,POINT Z (-75.6206765 3.6537064 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
24,chicala,locality,-75.612319,3.6840202,POINT Z (-75.612319 3.6840202 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
25,la victoria,locality,-75.6222347,3.6510149,POINT Z (-75.62223470000001 3.6510149 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
26,las margaritas,locality,-75.6087776,3.6494567,POINT Z (-75.6087776 3.6494567 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
27,granja el limon,locality,-75.5953206,3.6728296,POINT Z (-75.59532059999999 3.6728296 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
28,hacienda providencia,locality,-75.5944706,3.6619223,POINT Z (-75.59447059999999 3.6619223 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
29,balcones,isolated_dwelling,-75.8495583,3.8245793,POINT Z (-75.8495583 3.8245793 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
30,la aurora,locality,-75.6780462,3.7301992,POINT Z (-75.6780462 3.7301992 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
31,la lindoza,locality,-75.6739382,3.7328906,POINT Z (-75.67393819999999 3.7328906 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
32,el pasaje,locality,-75.712043,3.6926611,POINT Z (-75.71204299999999 3.6926611 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
33,la tarenta,locality,-75.6820125,3.7476226,POINT Z (-75.6820125 3.7476226 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
34,san fernando,hamlet,-75.678397,3.748007,POINT Z (-75.678397 3.748007 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
35,esc. dos quebradas,school,-75.6118031,3.7352318,POINT Z (-75.6118031 3.7352318 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
36,florestal ambeima,hamlet,-75.6643638,3.7066408,POINT Z (-75.6643638 3.7066408 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
37,jazminia,locality,-75.5861131,3.6964857,POINT Z (-75.58611310000001 3.6964857 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
38,hacienda la camelia,locality,-75.6135939,3.6964857,POINT Z (-75.6135939 3.6964857 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
39,meson,locality,-75.5936207,3.6940776,POINT Z (-75.5936207 3.6940776 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
40,florencia,locality,-75.6087776,3.7197169,POINT Z (-75.6087776 3.7197169 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
41,balcones,locality,-75.6066528,3.724958,POINT Z (-75.60665280000001 3.724958 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
42,los curas,locality,-75.6050947,3.6981855,POINT Z (-75.6050947 3.6981855 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
43,la cabaña,locality,-75.6558066,3.7335989,POINT Z (-75.65580660000001 3.7335989 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
44,el paraiso,locality,-75.6509904,3.7195752,POINT Z (-75.6509904 3.7195752 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
45,el recreo,locality,-75.5880962,3.7309075,POINT Z (-75.5880962 3.7309075 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
46,la aurora,locality,-75.6593479,3.6997437,POINT Z (-75.6593479 3.6997437 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
47,la marina,locality,-75.626626,3.7204251,POINT Z (-75.626626 3.7204251 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
48,el vergel,locality,-75.6668556,3.7486142,POINT Z (-75.66685560000001 3.7486142 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
49,santa lucia,locality,-75.6650141,3.7416731,POINT Z (-75.66501409999999 3.7416731 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
50,el salado,locality,-75.6715301,3.7559801,POINT Z (-75.6715301 3.7559801 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
51,aguas claras,hamlet,-75.645217,3.756465,POINT Z (-75.645217 3.756465 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
52,las juntas,hamlet,-75.6488393,3.7454388,POINT Z (-75.64883930000001 3.7454388 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
