,geographic_name,geometry,site_type,date_mod,dictionary,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,longitude,latitude
754,Hacienda Chupaderos,POINT Z (-75.78815121750283 4.039207262347611 0),Hacienda,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.78815121750283,4.039207262347611
755,La Pensadera,POINT Z (-75.79463774054302 4.049728444284064 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.79463774054302,4.049728444284064
756,Chupaderos,POINT Z (-75.7899171596179 4.028780556424753 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.7899171596179,4.028780556424753
757,Hacienda La Palmera,POINT Z (-75.83541200217162 4.029642572513662 0),Hacienda,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.83541200217162,4.029642572513662
758,Los Poloches,POINT Z (-75.82359678735548 3.983024573354182 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.82359678735548,3.983024573354182
759,La Cabaña,POINT Z (-75.83565616602593 4.004702520336408 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.83565616602593,4.004702520336408
760,Rumania,POINT Z (-75.83093295233019 3.962960811183309 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.83093295233019,3.962960811183309
761,Los Confines,POINT Z (-75.83457216034212 3.97292058934214 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.83457216034212,3.9729205893421398
762,Campo Alegre,POINT Z (-75.83319237525527 3.980968973553848 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.83319237525527,3.9809689735538476
763,La Argelia,POINT Z (-75.84218883486402 3.973414070767038 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.84218883486402,3.973414070767038
764,Hacienda Las Mirlas,POINT Z (-75.84964869735251 3.975564141891359 0),Hacienda,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.8496486973525,3.9755641418913585
765,La Cinta,POINT Z (-75.86169440071141 3.984644777867834 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.86169440071141,3.984644777867834
766,Preteles,POINT Z (-75.80276574774534 3.996614838667814 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.80276574774534,3.9966148386678135
767,La Traviata,POINT Z (-75.80935239874592 3.994731549732339 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.80935239874592,3.9947315497323395
768,Hacienda Montecristo,POINT Z (-75.81520124470163 3.998039210025557 0),Hacienda,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.81520124470163,3.998039210025557
769,Preteles,POINT Z (-75.81678005040295 3.994148739041385 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.81678005040295,3.994148739041385
770,Samaria,POINT Z (-75.82622759367111 3.992909480823458 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.8262275936711,3.992909480823458
771,Hacienda La Lorena,POINT Z (-75.8358316057663 3.993322222520581 0),Hacienda,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.8358316057663,3.9933222225205807
772,El Silencio,POINT Z (-75.84917289132699 3.993342771988562 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.84917289132699,3.9933427719885617
773,Hacienda La Bolsa,POINT Z (-75.86052915768153 3.994617345738014 0),Hacienda,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.86052915768153,3.994617345738014
774,Las Margaritas,POINT Z (-75.85823896635368 4.005747318762908 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.85823896635368,4.005747318762908
775,El Brete,POINT Z (-75.85624309891962 4.006870442504074 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.85624309891962,4.0068704425040735
776,El Danubio,POINT Z (-75.85124251278259 4.007184475292283 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.85124251278259,4.007184475292283
777,El Volga,POINT Z (-75.82680920748426 4.002033249490593 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.82680920748426,4.002033249490593
778,Lutecia,POINT Z (-75.80529738456234 4.013832350178101 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.80529738456234,4.013832350178101
779,Delicias,POINT Z (-75.82569000258779 4.010644177727728 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.82569000258779,4.010644177727728
780,La Cabañita,POINT Z (-75.83708727848786 4.00955761931709 0),,2015-01-05T00:00:00+00:00,False,True,False,False,False,False,-75.83708727848786,4.00955761931709
