,geographic_name,latitude,longitude,site_type,geometry,date_mod
0,Gen Navas Pardo,3.7236886,-75.46751239999999,airport,POINT Z (-75.46751239999999 3.7236886 0),2021-08-27T00:00:00+00:00
1,Cajero Automático Banco de Bogotá,3.724039,-75.485257,atm,POINT Z (-75.485257 3.724039 0),2021-08-27T00:00:00+00:00
2,Bancolombia Corresponsal Bancario,3.723827,-75.48397899999999,atm,POINT Z (-75.48397899999999 3.723827 0),2021-08-27T00:00:00+00:00
3,Cajero Bancolombia,3.7257468,-75.4847564,atm,POINT Z (-75.48475639999999 3.7257468 0),2021-08-27T00:00:00+00:00
4,Corresponsal Bancario Bancolombia,3.7232691,-75.4846204,bank,POINT Z (-75.4846204 3.7232691 0),2021-08-27T00:00:00+00:00
5,Banco De Bogotá Chaparral,3.7240293,-75.48523159999999,bank,POINT Z (-75.48523159999999 3.7240293 0),2021-08-27T00:00:00+00:00
6,BANCOLOMBIA CHAPARRAL,3.7252698,-75.4853136,bank,POINT Z (-75.4853136 3.7252698 0),2021-08-27T00:00:00+00:00
7,Bancamía Chaparral,3.724436,-75.48439499999999,bank,POINT Z (-75.48439499999999 3.724436 0),2021-08-27T00:00:00+00:00
8,Banco Agrario de Colombia,3.7251926,-75.48502239999999,bank,POINT Z (-75.48502239999999 3.7251926 0),2021-08-27T00:00:00+00:00
9,Davivienda,3.7242418,-75.4847324,bank,POINT Z (-75.4847324 3.7242418 0),2021-08-27T00:00:00+00:00
10,Panaderia Taffhur,3.7265791,-75.4730886,bakery,POINT Z (-75.4730886 3.7265791 0),2021-08-27T00:00:00+00:00
11,Rokopan La Avenida,3.7198947,-75.4935636,bakery,POINT Z (-75.4935636 3.7198947 0),2021-08-27T00:00:00+00:00
12,Rokopan,3.7254593,-75.4849735,bakery,POINT Z (-75.4849735 3.7254593 0),2021-08-27T00:00:00+00:00
13,Rokopan Camellon,3.7243294,-75.48039589999999,bakery,POINT Z (-75.48039589999999 3.7243294 0),2021-08-27T00:00:00+00:00
14,California Panaderia,3.7250882,-75.485304,bakery,POINT Z (-75.485304 3.7250882 0),2021-08-27T00:00:00+00:00
15,panaderia y cafeteria Rico Pan,3.724162,-75.4847611,bakery,POINT Z (-75.4847611 3.724162 0),2021-08-27T00:00:00+00:00
16,pasteleria Giordano,3.7244018,-75.4836357,bakery,POINT Z (-75.48363569999999 3.7244018 0),2021-08-27T00:00:00+00:00
17,Supermercado Imperial,3.7222458,-75.4829293,supermarket,POINT Z (-75.4829293 3.7222458 0),2021-08-27T00:00:00+00:00
18,SUPERMERCADO LA GAITANA,3.7225522,-75.4841162,supermarket,POINT Z (-75.4841162 3.7225522 0),2021-08-27T00:00:00+00:00
19,Parque Central Chaparral,3.7246128,-75.4849155,cafe,POINT Z (-75.4849155 3.7246128 0),2021-08-27T00:00:00+00:00
20,WaOo! Frozen,3.7257666,-75.48647749999999,food,POINT Z (-75.48647749999999 3.7257666 0),2021-08-27T00:00:00+00:00
21,Emmanuel,3.7252072,-75.483766,book_store,POINT Z (-75.483766 3.7252072 0),2021-08-27T00:00:00+00:00
22,LILI PINK CHAPARRAL,3.724926,-75.4854395,point_of_interest,POINT Z (-75.4854395 3.724926 0),2021-08-27T00:00:00+00:00
23,San valentín flores y eventos,3.7236416,-75.4863967,florist,POINT Z (-75.4863967 3.7236416 0),2021-08-27T00:00:00+00:00
24,All cleaning Tolima,3.7180674,-75.4925317,home_goods_store,POINT Z (-75.4925317 3.7180674 0),2021-08-27T00:00:00+00:00
