,geographic_name,site_type,longitude,latitude,geometry,date_mod
0,Las señoritas,hamlet,-75.5696998,3.4659505,POINT Z (-75.5696998 3.4659505 0),2021-08-27T00:00:00+00:00
1,Iglesia San Juan Bautista,place_of_worship,-75.4846869,3.724765,POINT Z (-75.4846869 3.724765 0),2021-08-27T00:00:00+00:00
2,Casa Café,cafe,-75.4855748,3.7247075,POINT Z (-75.48557479999999 3.7247075 0),2021-08-27T00:00:00+00:00
3,Hospital San Juan Bautista,hospital,-75.4845993,3.7268292,POINT Z (-75.4845993 3.7268292 0),2021-08-27T00:00:00+00:00
4,Zona de Taxis,taxi,-75.4853197,3.7242221,POINT Z (-75.48531970000001 3.7242221 0),2021-08-27T00:00:00+00:00
5,La Manga,locality,-75.4349689,3.5097864,POINT Z (-75.4349689 3.5097864 0),2021-08-27T00:00:00+00:00
6,La Profunda,hamlet,-75.6260707,3.5813838,POINT Z (-75.6260707 3.5813838 0),2021-08-27T00:00:00+00:00
7,Las Juntas,locality,-75.6223764,3.5946369,POINT Z (-75.62237639999999 3.5946369 0),2021-08-27T00:00:00+00:00
8,La Aldea,locality,-75.6101942,3.5981782,POINT Z (-75.6101942 3.5981782 0),2021-08-27T00:00:00+00:00
9,La Argentina,locality,-75.6058029,3.6034194,POINT Z (-75.6058029 3.6034194 0),2021-08-27T00:00:00+00:00
10,Esc. Icarco,school,-75.5991331,3.6119407,POINT Z (-75.5991331 3.6119407 0),2021-08-27T00:00:00+00:00
11,Calibio,locality,-75.5971621,3.6320334,POINT Z (-75.59716210000001 3.6320334 0),2021-08-27T00:00:00+00:00
12,Dos Aguas,locality,-75.6144438,3.629342,POINT Z (-75.6144438 3.629342 0),2021-08-27T00:00:00+00:00
13,Berlin,locality,-75.6117524,3.6258006,POINT Z (-75.6117524 3.6258006 0),2021-08-27T00:00:00+00:00
14,El Triunfo,locality,-75.6203932,3.6071024,POINT Z (-75.6203932 3.6071024 0),2021-08-27T00:00:00+00:00
15,La Glorieta,locality,-75.60127,3.6429407,POINT Z (-75.60127 3.6429407 0),2021-08-27T00:00:00+00:00
16,La Tribuna,locality,-75.6154354,3.6406742,POINT Z (-75.6154354 3.6406742 0),2021-08-27T00:00:00+00:00
17,El Tesoro,locality,-75.6072195,3.6328833,POINT Z (-75.6072195 3.6328833 0),2021-08-27T00:00:00+00:00
18,Calibio,hamlet,-75.6307339,3.6340165,POINT Z (-75.6307339 3.6340165 0),2021-08-27T00:00:00+00:00
19,Esc. Helechales,school,-75.5898626,3.6826813,POINT Z (-75.5898626 3.6826813 0),2021-08-27T00:00:00+00:00
20,El Jardin,locality,-75.6385249,3.6626305,POINT Z (-75.63852489999999 3.6626305 0),2021-08-27T00:00:00+00:00
21,San Antonio,locality,-75.6358335,3.6539897,POINT Z (-75.6358335 3.6539897 0),2021-08-27T00:00:00+00:00
22,El Recuerdo,locality,-75.6104775,3.657531,POINT Z (-75.6104775 3.657531 0),2021-08-27T00:00:00+00:00
23,La Germania,locality,-75.6206765,3.6537064,POINT Z (-75.6206765 3.6537064 0),2021-08-27T00:00:00+00:00
24,Chicala,locality,-75.612319,3.6840202,POINT Z (-75.612319 3.6840202 0),2021-08-27T00:00:00+00:00
25,La Victoria,locality,-75.6222347,3.6510149,POINT Z (-75.62223470000001 3.6510149 0),2021-08-27T00:00:00+00:00
26,Las Margaritas,locality,-75.6087776,3.6494567,POINT Z (-75.6087776 3.6494567 0),2021-08-27T00:00:00+00:00
27,Granja El Limon,locality,-75.5953206,3.6728296,POINT Z (-75.59532059999999 3.6728296 0),2021-08-27T00:00:00+00:00
28,Hacienda Providencia,locality,-75.5944706,3.6619223,POINT Z (-75.59447059999999 3.6619223 0),2021-08-27T00:00:00+00:00
29,Balcones,isolated_dwelling,-75.8495583,3.8245793,POINT Z (-75.8495583 3.8245793 0),2021-08-27T00:00:00+00:00
30,La Aurora,locality,-75.6780462,3.7301992,POINT Z (-75.6780462 3.7301992 0),2021-08-27T00:00:00+00:00
31,La Lindoza,locality,-75.6739382,3.7328906,POINT Z (-75.67393819999999 3.7328906 0),2021-08-27T00:00:00+00:00
32,El Pasaje,locality,-75.712043,3.6926611,POINT Z (-75.71204299999999 3.6926611 0),2021-08-27T00:00:00+00:00
33,La Tarenta,locality,-75.6820125,3.7476226,POINT Z (-75.6820125 3.7476226 0),2021-08-27T00:00:00+00:00
34,San Fernando,hamlet,-75.678397,3.748007,POINT Z (-75.678397 3.748007 0),2021-08-27T00:00:00+00:00
35,Esc. Dos Quebradas,school,-75.6118031,3.7352318,POINT Z (-75.6118031 3.7352318 0),2021-08-27T00:00:00+00:00
36,Florestal Ambeima,hamlet,-75.6643638,3.7066408,POINT Z (-75.6643638 3.7066408 0),2021-08-27T00:00:00+00:00
37,Jazminia,locality,-75.5861131,3.6964857,POINT Z (-75.58611310000001 3.6964857 0),2021-08-27T00:00:00+00:00
38,Hacienda La Camelia,locality,-75.6135939,3.6964857,POINT Z (-75.6135939 3.6964857 0),2021-08-27T00:00:00+00:00
39,Meson,locality,-75.5936207,3.6940776,POINT Z (-75.5936207 3.6940776 0),2021-08-27T00:00:00+00:00
40,Florencia,locality,-75.6087776,3.7197169,POINT Z (-75.6087776 3.7197169 0),2021-08-27T00:00:00+00:00
41,Balcones,locality,-75.6066528,3.724958,POINT Z (-75.60665280000001 3.724958 0),2021-08-27T00:00:00+00:00
42,Los Curas,locality,-75.6050947,3.6981855,POINT Z (-75.6050947 3.6981855 0),2021-08-27T00:00:00+00:00
43,La Cabaña,locality,-75.6558066,3.7335989,POINT Z (-75.65580660000001 3.7335989 0),2021-08-27T00:00:00+00:00
44,El Paraiso,locality,-75.6509904,3.7195752,POINT Z (-75.6509904 3.7195752 0),2021-08-27T00:00:00+00:00
45,El Recreo,locality,-75.5880962,3.7309075,POINT Z (-75.5880962 3.7309075 0),2021-08-27T00:00:00+00:00
46,La Aurora,locality,-75.6593479,3.6997437,POINT Z (-75.6593479 3.6997437 0),2021-08-27T00:00:00+00:00
47,La Marina,locality,-75.626626,3.7204251,POINT Z (-75.626626 3.7204251 0),2021-08-27T00:00:00+00:00
48,El Vergel,locality,-75.6668556,3.7486142,POINT Z (-75.66685560000001 3.7486142 0),2021-08-27T00:00:00+00:00
49,Santa Lucia,locality,-75.6650141,3.7416731,POINT Z (-75.66501409999999 3.7416731 0),2021-08-27T00:00:00+00:00
50,El Salado,locality,-75.6715301,3.7559801,POINT Z (-75.6715301 3.7559801 0),2021-08-27T00:00:00+00:00
51,Aguas Claras,hamlet,-75.645217,3.756465,POINT Z (-75.645217 3.756465 0),2021-08-27T00:00:00+00:00
52,Las Juntas,hamlet,-75.6488393,3.7454388,POINT Z (-75.64883930000001 3.7454388 0),2021-08-27T00:00:00+00:00
53,La Tolda,locality,-75.6638808,3.7688706,POINT Z (-75.6638808 3.7688706 0),2021-08-27T00:00:00+00:00
54,La Primavera,hamlet,-75.6362497,3.7589903,POINT Z (-75.63624969999999 3.7589903 0),2021-08-27T00:00:00+00:00
55,El Canelo,locality,-75.5862547,3.7460644,POINT Z (-75.5862547 3.7460644 0),2021-08-27T00:00:00+00:00
56,California,locality,-75.5893711,3.7379902,POINT Z (-75.58937109999999 3.7379902 0),2021-08-27T00:00:00+00:00
57,El Parasol,locality,-75.6019783,3.7531471,POINT Z (-75.6019783 3.7531471 0),2021-08-27T00:00:00+00:00
58,La Soledad,locality,-75.5984369,3.7501724,POINT Z (-75.5984369 3.7501724 0),2021-08-27T00:00:00+00:00
59,La Sonrisa,locality,-75.5967371,3.7437979,POINT Z (-75.5967371 3.7437979 0),2021-08-27T00:00:00+00:00
60,Esc. Astilleros,school,-75.5900223,3.762422,POINT Z (-75.5900223 3.762422 0),2021-08-27T00:00:00+00:00
61,La Estrella,locality,-75.6077861,3.7600881,POINT Z (-75.6077861 3.7600881 0),2021-08-27T00:00:00+00:00
62,La Libia,locality,-75.5900794,3.7585299,POINT Z (-75.59007939999999 3.7585299 0),2021-08-27T00:00:00+00:00
63,San Pedro Ambeima,hamlet,-75.6247043,3.7636779,POINT Z (-75.6247043 3.7636779 0),2021-08-27T00:00:00+00:00
64,La Floresta,locality,-75.6791794,3.8208574,POINT Z (-75.6791794 3.8208574 0),2021-08-27T00:00:00+00:00
65,Aurora Hermosas,hamlet,-75.7202371,3.829805,POINT Z (-75.72023710000001 3.829805 0),2021-08-27T00:00:00+00:00
66,El Escobal,hamlet,-75.6880342,3.8648129,POINT Z (-75.6880342 3.8648129 0),2021-08-27T00:00:00+00:00
67,Davis,locality,-75.6813628,3.8431825,POINT Z (-75.6813628 3.8431825 0),2021-08-27T00:00:00+00:00
68,El Oriente,locality,-75.7159817,3.8506493,POINT Z (-75.7159817 3.8506493 0),2021-08-27T00:00:00+00:00
69,Lorena,locality,-75.726028,3.8558082,POINT Z (-75.726028 3.8558082 0),2021-08-27T00:00:00+00:00
70,El Brillante,locality,-75.7398071,3.8256736,POINT Z (-75.73980709999999 3.8256736 0),2021-08-27T00:00:00+00:00
