,ESTADO_DRENAJE,PROYECTO,SYMBOL,DISPERSION,NOMBRE_GEOGRAFICO,PK_CUE,CAMBIO,VIGENCIA,FECHA_MODIFICACION,HOJA,PK_CUE_CAMBIO,RULEID,OBJECT_ID_ORIGEN,SHAPE_LENGTH,GEOMETRY,ORIGIN_LAYER,TIPO,SHAPE_AREA,CODIGO_USO_EDIFICACION,ROTACION,CODIGO_NOMBRE,FUNCION_PUENTE,SITE,DICTIONARY,GEO_DATABASE,GOOGLE_MAPS,OPEN_STREET_MAPS,AERIAL_PHOTOGRAPH,CARTOGRAPHIC_SHEET,LONGITUDE,LATITUDE
2196,,,1,,La Florida,7099662.0,,0,2016-08-30T00:00:00+00:00,281IIA,,10.0,,,POINT Z (-75.60538371896747 3.803638515267594 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.60538371896747,3.803638515267594
2389,,,1,,La Primavera,1294418.0,,0,2016-09-07T00:00:00+00:00,281IIC,,10.0,,,POINT Z (-75.67680853269616 3.698847081437642 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.67680853269616,3.698847081437642
1296,,,1,,Mirolindo,5521161.0,,0,2015-10-31T00:00:00+00:00,282IVC,,10.0,1002563.0,,POINT Z (-75.34212287616052 3.552400749482063 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.34212287616052,3.5524007494820626
1643,,,1,,El Mandarino,1299978.0,,0,2015-04-28T00:00:00+00:00,263IIID,,10.0,,,POINT Z (-75.47160241075065 3.90861469305979 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.47160241075065,3.9086146930597905
1946,,,1,,La Primavera,4865627.0,,0,2015-04-28T00:00:00+00:00,263IIID,,10.0,,,POINT Z (-75.46979023413448 3.884248745974572 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.46979023413448,3.884248745974572
2729,,,1,,Cuchilla Retiro,7073343.0,,0,2016-08-22T00:00:00+00:00,281IA,,1.0,,,POINT Z (-75.98786626936173 3.858325649803107 0),Orografia,,,,,8110,,Cuchilla,False,True,False,False,False,False,-75.98786626936173,3.858325649803107
1747,,,1,,San Isidro,4864482.0,,0,2015-04-28T00:00:00+00:00,263IIID,,10.0,,,POINT Z (-75.48145416833054 3.94557590509942 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.48145416833054,3.94557590509942
2381,,,1,,La Sonrisa,7140159.0,,0,2016-09-07T00:00:00+00:00,281IIC,,10.0,,,POINT Z (-75.59750462615642 3.747601825724288 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.59750462615642,3.7476018257242876
2671,,,1,,Farallones de Potrerito Batatas,5521790.0,,0,2015-11-01T00:00:00+00:00,282IVC,,1.0,8621.0,,POINT Z (-75.41023501820369 3.524799623114677 0),Orografia,,,,,8114,,,False,True,False,False,False,False,-75.4102350182037,3.524799623114677
1488,,,1,,Hacienda Bonanza,1294427.0,,0,2015-04-23T00:00:00+00:00,282IID,,10.0,1046866.0,,POINT Z (-75.24578368114371 3.699399477440095 0),Construccion_P,,,4101,,,,Hacienda,False,True,False,False,False,False,-75.2457836811437,3.6993994774400947
1009,,,1,,Puesto de Salud,4710069.0,,0,2015-03-05T00:00:00+00:00,282IIA,,12.0,999321.0,,POINT Z (-75.33316015760043 3.811831311541804 0),Construccion_P,,,4119,,,,Puesto de salud,False,True,False,False,False,False,-75.33316015760043,3.811831311541804
2270,,,1,,La Soledad,1297644.0,,0,2016-09-07T00:00:00+00:00,281IIC,1297644_CC_201609,10.0,,,POINT Z (-75.59647214647653 3.75154188930663 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.59647214647653,3.75154188930663
2045,,,1,,Las Delicias,4865932.0,,0,2015-04-28T00:00:00+00:00,263IIID,,10.0,,,POINT Z (-75.47210822512392 3.875605080546472 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.47210822512392,3.875605080546472
835,,,1,,Manzanares,1302117.0,,0,2014-12-05T00:00:00+00:00,262IVC,,10.0,705855.0,,POINT Z (-75.63384555182695 3.880031336277787 0),Construccion_P,,,4101,,,,,True,True,False,False,False,False,-75.63384555182695,3.880031336277787
1104,,,1,,Los Guasimos,4712802.0,,0,2015-03-05T00:00:00+00:00,282IIA,,10.0,1000883.0,,POINT Z (-75.34936990781796 3.790367055051154 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.34936990781796,3.790367055051154
2544,,,1,,Parque Nacional Natural Las Hermosas,437682.0,,0,2016-08-30T00:00:00+00:00,281IIA,,1.0,,,POINT Z (-75.7141456591748 3.792288265557629 0),Administrativo_P,,,,,8314,,Parque,False,True,False,False,False,False,-75.7141456591748,3.7922882655576293
1111,,,1,,Las Hermosas,4712879.0,,0,2015-03-05T00:00:00+00:00,282IIA,,10.0,1000970.0,,POINT Z (-75.40186809800011 3.869809082337276 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.40186809800011,3.869809082337276
895,,,1,,Pueblito,4711237.0,,0,2015-03-05T00:00:00+00:00,282IIA,,10.0,999202.0,,POINT Z (-75.41790028927063 3.840580354062033 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.41790028927063,3.840580354062033
1804,,,1,,La Reforma,4864749.0,,0,2015-04-28T00:00:00+00:00,263IIID,,10.0,,,POINT Z (-75.49604121838134 3.929441453225908 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.49604121838134,3.929441453225908
939,,,1,,Buenavista,4711277.0,,0,2015-03-05T00:00:00+00:00,282IIA,,10.0,999248.0,,POINT Z (-75.42644518728045 3.794656683407148 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.42644518728045,3.7946566834071485
2203,,,1,,Buenos Aires,1295163.0,,0,2016-08-30T00:00:00+00:00,281IIA,,2.0,,,POINT Z (-75.59815821930722 3.834487517287902 0),Construccion_P,,,4112,,,,,False,True,False,False,False,False,-75.59815821930722,3.834487517287902
1232,,,1,,Serrezuela,5520624.0,,0,2015-10-31T00:00:00+00:00,282IVC,,10.0,1001987.0,,POINT Z (-75.33031654984146 3.520069258388806 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.33031654984146,3.520069258388806
1821,,,1,,Santa Isabel,4864819.0,,0,2015-04-28T00:00:00+00:00,263IIID,,10.0,,,POINT Z (-75.46585065501398 3.914842233799956 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.46585065501398,3.9148422337999556
2204,,,1,,San Roque ,1299501.0,,0,2016-08-30T00:00:00+00:00,281IIA,1299501_CC_201608,10.0,,,POINT Z (-75.59323904076042 3.854362505156768 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.59323904076042,3.854362505156768
1021,,,1,,El Guindo,4711355.0,,0,2015-03-05T00:00:00+00:00,282IIA,,10.0,999333.0,,POINT Z (-75.42361803134031 3.818025614013722 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.42361803134031,3.8180256140137216
2409,,,1,,La Miranda,7139859.0,,0,2016-09-07T00:00:00+00:00,281IIC,,10.0,,,POINT Z (-75.64459570696437 3.736529691727673 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.64459570696437,3.7365296917276734
1357,,,1,,Lindanay,1294703.0,,0,2015-10-31T00:00:00+00:00,282IVC,,10.0,1003108.0,,POINT Z (-75.42393175373428 3.600194614878097 0),Construccion_P,,,4101,,,,,True,True,False,False,False,False,-75.42393175373428,3.6001946148780966
2434,,,1,,El Aguacero,1295357.0,,0,2016-09-09T00:00:00+00:00,281IIIB,,10.0,,,POINT Z (-75.85728577924597 3.613832361074762 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.85728577924597,3.613832361074762
1487,,,1,,El Guamito,4849003.0,,0,2015-04-23T00:00:00+00:00,282IID,,10.0,1046860.0,,POINT Z (-75.27481973598036 3.691274993966449 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.27481973598036,3.691274993966449
785,,,1,,La Iberia,1303136.0,,0,2015-01-05T00:00:00+00:00,262IIIB,,10.0,705727.0,,POINT Z (-75.82180946265534 4.021483998148442 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.82180946265534,4.021483998148442
1405,,,1,,La Granja,1300172.0,,0,2015-03-27T00:00:00+00:00,262IVA,,10.0,1032939.0,,POINT Z (-75.59482499388383 4.022977996914987 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.59482499388383,4.022977996914987
1401,,,1,,Hacienda Rosales,1302740.0,,0,2015-03-27T00:00:00+00:00,262IVA,,10.0,1032896.0,,POINT Z (-75.62165720795996 4.029288550688698 0),Construccion_P,,,4101,,,,Hacienda,False,True,False,False,False,False,-75.62165720795996,4.029288550688698
2161,,,1,,Casanare ,7099542.0,,0,2016-08-30T00:00:00+00:00,281IIA,,10.0,,,POINT Z (-75.70005493718378 3.847438724354137 0),Construccion_P,,,4101,,,,,False,True,False,False,False,False,-75.70005493718378,3.8474387243541366
2709,,,1,,Filo Meche,4849029.0,,0,2015-04-23T00:00:00+00:00,282IID,,1.0,8913.0,,POINT Z (-75.27820521974789 3.718981561316497 0),Orografia,,,,,8110,,Filo,False,True,False,False,False,False,-75.27820521974789,3.718981561316497
