	level_0	index	geographic_name	latitude	longitude	site_type
0	0	0	Gen Navas Pardo	3.7236886	-75.46751239999999	airport
1	1	0	Cajero Automático Banco de Bogotá	3.724039	-75.485257	atm
2	2	1	Bancolombia Corresponsal Bancario	3.723827	-75.48397899999999	atm
3	3	2	Cajero Bancolombia	3.7257468	-75.4847564	atm
4	4	3	Corresponsal Bancario Bancolombia	3.7232691	-75.4846204	bank
5	5	4	Banco De Bogotá Chaparral	3.7240293	-75.48523159999999	bank
6	6	5	BANCOLOMBIA CHAPARRAL	3.7252698	-75.4853136	bank
7	7	6	Bancamía Chaparral	3.724436	-75.48439499999999	bank
8	8	7	Banco Agrario de Colombia	3.7251926	-75.48502239999999	bank
9	9	8	Davivienda	3.7242418	-75.4847324	bank
10	10	0	Panaderia Taffhur	3.7265791	-75.4730886	bakery
11	11	1	Rokopan La Avenida	3.7198947	-75.4935636	bakery
12	12	2	Rokopan	3.7254593	-75.4849735	bakery
13	13	3	Rokopan Camellon	3.7243294	-75.48039589999999	bakery
14	14	4	California Panaderia	3.7250882	-75.485304	bakery
15	15	5	panaderia y cafeteria Rico Pan	3.724162	-75.4847611	bakery
16	16	6	pasteleria Giordano	3.7244018	-75.4836357	bakery
17	17	7	Supermercado Imperial	3.7222458	-75.4829293	supermarket
18	18	8	SUPERMERCADO LA GAITANA	3.7225522	-75.4841162	supermarket
19	19	9	Parque Central Chaparral	3.7246128	-75.4849155	cafe
20	20	10	WaOo! Frozen	3.7257666	-75.48647749999999	food
21	21	11	Emmanuel	3.7252072	-75.483766	book_store
22	22	12	LILI PINK CHAPARRAL	3.724926	-75.4854395	point_of_interest
23	23	13	San valentín flores y eventos	3.7236416	-75.4863967	florist
24	24	14	All cleaning Tolima	3.7180674	-75.4925317	home_goods_store
25	26	1	Banco Wwb	3.7240441	-75.4839686	bank
26	28	3	Cajero Automático Red Aval	3.724039	-75.485257	bank
27	32	7	Distribuidora AVISUR SANTA CLARA	3.7226789	-75.4833616	bank
28	33	8	Corresponsal Bancario Bancolombia	3.7225935	-75.4833692	bank
29	35	10	Corresponsal Bancario Bancolombia	3.723158199999999	-75.4854572	bank
30	38	0	Kahlúa Cafe Bar	3.7244452	-75.47714739999999	bar
31	39	1	SHUPER MAN BAR	3.723827	-75.48397899999999	bar
32	40	2	180° CAFÉ BAR	3.7245023	-75.478759	bar
33	41	3	Jurassic Bar	3.7207033	-75.47575069999999	bar
34	42	4	Billar Los Recuerdos De Ella	3.7304325	-75.4831928	bar
35	43	5	Rock & Reggae	3.7261372	-75.4762176	bar
36	44	6	Zitius	3.7243237	-75.48222059999999	bar
37	45	7	Charcuteria Bar La Holandesa	3.724122299999999	-75.484156	bar
38	46	8	Gallera pueblo nuevo	3.7262346	-75.4907107	bar
39	47	9	Sin prisa licorera	3.724447199999999	-75.4790944	bar
40	48	10	Wilson Sneider cometa	3.7276891	-75.49215970000002	bar
41	49	11	Juana De Arco	3.723886499999999	-75.4848135	bar
42	50	12	Kitskos	3.7201731	-75.4759736	restaurant
43	51	13	PROTEIN BAR CLUB CHAPARRAL	3.7216335	-75.4848339	food
